"Word ","guasch_2016 
valence_m × ","guasch_2016 
valence_sd × ","guasch_2016 
arousal_m × ","guasch_2016 
arousal_sd × ","guasch_2016 
concreteness_m × ","guasch_2016 
concreteness_sd × ","guasch_2016 
imageability_m × ","guasch_2016 
imageability_sd × ","guasch_2016 
contextual_availability_m × ","guasch_2016 
contextual_availability_sd × ","guasch_2016 
familiarity_m × ","guasch_2016 
familiarity_sd × "
"elemento","5.09","0.29","4.25","2.02","1.55","1.14","1.86","1.32","3.64","2.08","5.83","1.75"
"eliminación","2.59","1.68","5.00","2.70","3.80","2.02","2.75","2.24","3.26","2.12","5.43","1.47"
"elogio","7.80","1.06","6.05","2.34","3.14","1.88","2.80","1.54","4.22","1.98","4.81","1.36"
"embajada","4.95","0.58","4.73","1.96","5.40","1.64","4.14","2.23","4.00","2.29","3.57","1.29"
"embarazada","7.68","1.17","5.95","2.44","6.76","0.70","6.73","0.55","6.29","1.55","6.10","1.21"
"embarazo","7.20","2.07","7.18","2.34","5.95","1.63","6.85","0.49","6.52","0.95","6.09","1.41"
"emoción","8.30","0.86","8.23","1.15","2.50","1.64","3.15","1.79","6.43","0.99","6.55","0.74"
"emperador","4.85","1.31","5.05","2.04","5.05","1.47","5.05","1.53","4.18","2.44","4.29","2.19"
"emperatriz","5.10","1.45","4.75","1.83","5.38","1.50","4.59","1.79","3.50","2.43","4.29","1.38"
"empresaria","5.57","1.20","4.48","1.68","4.18","1.76","4.48","2.02","4.43","2.09","5.35","1.79"
"empresario","5.29","1.44","4.80","1.94","4.73","1.80","4.71","1.90","4.62","1.77","5.38","1.40"
"enamorado","8.05","1.24","6.00","2.96","4.10","1.89","4.00","1.81","6.50","1.06","6.35","1.09"
"encaje","5.52","1.41","3.80","2.12","4.95","1.56","5.14","1.96","2.95","2.19","4.48","1.57"
"encuentro","7.25","1.59","5.86","2.17","2.65","1.69","3.65","1.46","5.43","1.75","6.35","1.04"
"enemigo","2.57","1.47","6.95","2.04","5.10","1.37","3.40","1.90","4.85","1.95","5.64","1.43"
"enérgico","6.90","1.17","6.18","2.02","4.57","1.59","4.17","2.10","5.14","2.03","5.00","1.98"
"enfadado","1.95","0.92","6.90","1.33","5.04","1.89","5.09","2.00","5.91","1.77","6.48","0.87"
"enfado","2.43","0.98","7.35","1.18","4.74","1.79","4.74","2.07","5.77","1.72","6.62","0.67"
"enfermedad","1.35","0.65","8.35","0.93","2.35","1.35","3.10","1.41","5.77","1.31","6.10","1.22"
"enfermero","5.50","1.88","5.60","1.67","6.00","1.00","6.57","0.75","6.18","1.05","6.25","0.79"
"enfurecido","2.50","0.80","7.24","1.97","5.26","1.48","4.52","2.33","4.77","2.25","5.19","1.66"
"engañar","1.48","0.67","7.64","1.56","4.05","1.91","2.67","1.46","5.00","2.05","6.23","0.97"
"enigma","5.27","1.55","6.68","1.78","2.95","1.57","2.65","1.53","3.35","1.76","4.24","1.55"
"enmienda","4.70","0.98","4.00","2.02","4.30","1.77","1.83","0.98","1.77","1.19","3.14","1.88"
"enredo","3.33","1.17","5.86","2.03","3.55","1.65","3.71","1.62","3.85","2.03","5.50","1.36"
"enterrador","1.60","1.05","6.40","1.98","5.81","1.21","5.41","1.50","4.68","2.19","3.95","2.37"
"entierro","1.35","0.49","7.27","1.49","6.15","0.88","5.95","1.47","6.20","1.01","5.71","1.74"
"entorno","5.95","1.40","5.25","2.12","2.90","1.92","2.64","1.43","4.88","2.25","6.20","1.28"
"entusiasmo","7.91","1.11","7.35","2.32","3.40","1.76","2.75","1.68","5.09","2.07","5.81","1.03"
"episodio","5.71","1.23","4.14","1.62","3.90","1.18","3.05","2.13","4.80","2.48","6.32","0.78"
"erección","6.90","1.94","7.41","1.97","6.27","1.20","6.57","0.60","5.96","1.30","6.20","1.11"
"erótico","7.48","0.98","7.14","1.91","5.35","1.50","5.43","1.70","5.77","1.66","6.09","0.75"
"escala","4.75","0.55","3.73","1.83","2.50","1.43","2.91","2.02","4.35","2.54","5.91","1.06"
"escalera","4.95","0.49","4.00","1.84","6.29","1.27","6.82","0.50","6.36","1.09","6.60","0.99"
"escaparate","5.86","1.21","3.83","2.21","4.91","1.85","6.67","0.58","5.14","1.85","6.00","1.14"
"escasez","2.04","1.15","6.35","2.58","3.55","2.04","3.76","2.26","3.82","1.99","5.55","1.93"
"escena","5.55","0.80","4.55","1.65","3.45","1.50","4.35","1.79","5.55","1.82","5.70","1.42"
"escenario","6.50","1.72","6.38","2.18","5.20","1.15","6.41","0.85","5.90","1.86","5.55","1.73"
"escéptico","4.23","0.87","4.55","1.44","4.00","1.76","1.77","1.51","2.55","1.77","3.91","1.95"
"escorpión","3.35","1.73","6.50","1.82","6.70","0.56","6.78","0.67","5.36","2.01","5.05","1.76"
"escote","5.71","1.78","4.87","2.05","5.68","1.55","6.52","0.87","4.62","2.33","6.23","1.19"
"escritora","6.04","0.84","3.52","1.95","5.68","1.13","5.14","1.62","5.00","1.87","6.09","1.06"
"escuela","6.15","1.64","4.90","1.89","5.52","1.36","6.65","1.14","6.32","1.29","6.67","0.48"
"escultora","6.39","1.07","4.17","1.97","5.27","1.24","4.14","2.13","3.52","1.83","4.73","2.03"
"esfuerzo","7.85","1.14","5.55","2.20","2.40","1.50","3.09","1.60","5.35","2.04","6.15","1.18"
"espanto","2.86","1.55","7.45","1.39","3.05","1.94","2.68","1.52","3.41","2.06","4.10","1.92"
"espantoso","2.55","1.05","6.35","2.16","3.83","1.85","3.61","1.80","5.59","1.30","5.24","1.73"
"esperanza","7.70","1.36","4.65","3.23","2.50","1.67","2.30","0.92","4.50","1.92","5.95","1.36"
"esqueleto","4.38","2.10","5.00","2.24","5.90","1.61","6.62","0.50","5.95","1.90","5.86","1.25"
"esquina","4.45","1.10","4.10","1.68","5.59","1.53","6.62","0.74","4.50","2.26","5.81","1.03"
"estado","5.17","1.20","4.86","1.49","2.35","1.66","1.95","1.33","3.45","2.26","5.55","1.73"
"estallido","3.35","1.43","7.45","1.47","5.25","1.45","3.95","2.37","4.73","1.98","4.09","1.57"
"estantería","5.00","0.77","3.65","2.25","5.73","1.80","6.81","0.51","5.00","2.19","6.00","1.41"
"estilista","6.20","1.20","4.55","2.06","5.38","1.12","5.25","1.48","4.95","2.08","4.55","2.16"
"estilo","6.35","1.04","3.82","1.79","2.50","1.47","3.30","1.84","3.96","2.29","6.00","1.31"
"estimulación","6.73","1.28","6.75","2.15","3.30","1.45","2.15","1.60","4.22","2.09","5.86","1.39"
"estímulo","6.09","1.27","6.55","1.99","3.40","1.93","2.50","1.88","4.70","1.92","5.95","1.60"
"estómago","4.73","1.03","4.27","1.83","5.95","1.23","5.87","1.29","5.23","1.93","6.57","0.95"
"estrecho","4.48","0.81","4.95","2.19","3.85","2.06","4.60","1.54","5.15","2.28","5.38","1.40"
"estuche","5.17","0.49","3.70","1.63","5.67","1.59","6.75","0.55","6.45","0.91","5.90","1.55"
"eternidad","6.70","1.92","4.55","2.93","2.68","1.86","1.90","1.45","3.91","2.27","4.75","1.86"
"etiqueta","4.81","1.03","3.86","1.88","4.41","1.87","6.20","1.01","5.20","2.38","6.05","1.28"
"eufórico","7.68","1.09","7.20","1.01","4.91","1.53","4.74","1.74","5.55","1.71","5.30","1.30"
"evolución","7.09","1.41","5.59","1.76","2.59","1.47","2.73","1.55","4.41","1.92","5.61","1.73"
"exceso","3.88","2.01","6.90","1.73","3.09","1.44","3.15","1.35","4.45","2.06","6.00","1.26"
"excitado","7.62","1.12","7.82","1.18","4.17","1.87","4.78","2.00","5.95","1.33","6.00","0.95"
"exclusión","2.22","1.35","6.86","1.96","3.05","1.65","2.55","1.26","4.14","1.81","4.23","1.88"
"excursión","7.67","1.20","5.81","2.38","4.30","2.05","5.09","1.57","6.80","0.52","6.20","1.44"
"exhibición","5.82","1.22","6.15","1.84","3.80","1.94","3.85","2.18","4.17","2.01","5.55","1.30"
"exigencia","4.38","1.69","6.23","1.66","3.40","1.85","1.77","1.45","4.45","1.90","5.19","2.04"
"exilio","2.82","1.68","5.95","2.46","3.76","2.07","4.10","1.81","3.50","2.37","4.55","1.79"
"explosión","1.59","1.10","8.25","1.21","5.10","1.37","5.45","1.57","5.61","1.75","5.59","1.44"
"explotación","2.00","1.45","7.55","1.37","3.60","2.01","3.09","1.97","4.91","2.14","4.67","1.71"
"explotador","1.85","1.42","7.15","1.93","3.38","1.72","2.73","1.55","2.95","1.81","4.73","1.45"
"extinción","2.33","1.76","5.48","2.38","3.65","1.81","2.32","1.49","3.80","1.99","5.20","2.07"
"extrañeza","4.18","1.14","4.82","2.28","3.14","1.65","1.86","1.52","2.59","1.74","4.60","1.70"
"época","5.22","0.74","4.65","1.93","2.55","1.34","2.76","1.48","3.82","2.13","5.71","1.19"
"ética","6.95","1.28","3.77","2.00","3.27","2.05","1.90","1.09","3.96","2.65","4.95","1.94"
"éxito","8.30","0.82","6.70","2.74","2.45","1.50","3.60","1.50","5.41","1.53","5.95","1.43"
"éxtasis","6.29","2.22","7.55","1.47","4.41","1.76","3.41","1.92","4.25","2.22","5.00","1.67"
"facha","3.05","1.53","6.81","1.72","3.55","1.68","4.15","1.53","5.00","1.84","4.82","1.62"
"facilidad","6.65","1.61","4.20","2.80","2.45","1.36","2.45","1.15","3.59","1.74","6.25","1.29"
"facultad","5.71","0.90","5.68","1.64","4.38","2.20","5.81","1.50","6.15","1.57","6.45","1.00"
"falda","6.04","1.07","4.17","2.27","6.00","1.02","6.86","0.36","5.81","1.08","6.64","0.73"
"falso","2.71","1.10","6.14","1.42","3.25","1.68","2.50","1.43","3.75","2.12","6.19","1.21"
"famosa","5.60","1.57","6.00","2.18","4.33","1.83","4.90","1.45","5.82","1.47","5.95","1.47"
"fantasía","7.86","1.17","5.70","2.11","2.82","1.53","2.61","2.02","4.14","2.08","5.91","1.27"
"farmacéutica","5.75","1.14","4.04","1.92","5.95","1.36","6.48","0.60","5.81","1.69","5.86","1.42"
"faro","5.60","1.05","3.05","1.77","6.70","0.92","6.86","0.36","5.59","1.92","4.90","1.37"
"fascinación","7.33","1.24","6.95","2.36","3.00","1.72","2.26","1.89","4.15","1.84","4.75","1.59"
"fascinante","8.36","0.66","6.20","3.02","3.20","1.47","1.60","0.75","3.70","2.12","5.50","1.67"
"fatalidad","2.32","1.25","6.70","1.72","2.35","1.42","1.86","1.25","2.86","2.01","4.68","1.94"
"faz","4.91","0.29","3.45","1.68","3.10","2.07","2.17","1.77","2.32","2.03","3.35","1.79"
"fábrica","4.14","1.28","4.50","1.68","6.09","1.19","6.27","0.98","5.23","2.09","5.95","1.21"
"fealdad","3.14","1.32","5.25","2.15","3.36","2.04","3.81","1.83","3.77","2.33","3.76","1.87"
"fecha","5.05","1.05","4.64","1.36","3.91","1.95","3.90","1.80","6.30","1.56","6.70","0.56"
"felicidad","8.83","0.49","5.30","3.74","2.85","1.87","4.00","1.98","5.95","1.56","6.75","0.72"
"feliz","8.55","0.69","5.55","3.15","5.00","2.09","5.39","1.95","6.41","1.44","6.77","0.53"
"figura","5.14","0.76","3.83","2.10","2.50","1.65","5.38","1.63","4.29","2.24","5.00","1.45"
"firma","5.45","0.80","3.95","1.68","5.48","1.75","6.27","1.20","5.65","2.11","6.05","1.56"
"flamenco","5.86","1.24","4.19","2.16","4.95","1.36","5.85","1.69","5.00","1.92","4.86","1.73"
"foco","4.86","1.01","4.86","2.03","4.86","1.52","6.00","1.56","5.00","2.51","4.85","1.90"
"follón","3.67","1.77","6.50","1.93","3.61","1.83","4.61","2.19","5.86","1.39","5.95","0.97"
"forastero","5.09","1.44","4.05","2.32","3.85","1.76","4.55","1.67","4.91","1.93","4.61","1.83"
"fortuna","7.09","1.57","5.70","1.87","2.62","1.50","4.40","1.43","4.55","1.93","4.90","1.97"
"fotografía","6.50","1.86","3.85","1.84","5.76","1.41","6.30","1.26","6.14","1.21","6.50","0.69"
"fotógrafa","7.35","1.18","3.85","2.01","5.57","1.16","6.29","1.06","6.27","1.20","6.14","1.24"
"fotógrafo","6.45","1.32","4.05","2.38","6.59","0.67","6.64","0.79","6.13","1.52","5.95","1.36"
"fracaso","1.61","0.72","7.75","1.59","3.27","1.70","2.48","1.73","4.23","2.11","5.76","1.09"
"fracción","4.67","0.86","3.35","1.84","3.15","1.31","4.00","2.07","3.55","1.93","4.14","1.85"
"fragilidad","3.05","1.25","4.60","2.21","3.40","1.98","3.30","1.49","4.73","1.91","5.85","1.79"
"frialdad","3.33","1.66","4.81","2.77","2.85","1.76","2.30","1.33","3.40","2.06","5.10","2.13"
"frustración","1.88","1.08","5.62","2.62","3.80","1.88","2.32","1.43","4.00","2.03","5.50","1.15"
"fruto","6.23","1.11","3.15","1.79","4.14","1.98","5.91","1.27","4.95","1.85","6.18","1.18"
"fuerte","7.50","1.56","6.19","2.04","3.73","1.64","4.96","1.69","5.40","1.96","6.71","0.56"
"fuerza","7.63","1.44","7.24","1.76","2.20","1.40","3.41","1.92","5.40","1.79","6.50","1.19"
"fugitivo","2.85","1.53","6.91","1.77","4.05","1.57","5.14","1.49","5.26","1.98","4.25","2.15"
"función","5.33","0.97","4.05","1.47","2.59","1.47","2.17","1.56","3.45","2.06","5.50","1.44"
"furgoneta","5.25","0.75","4.35","2.21","6.27","0.98","7.00","0.00","5.38","1.86","6.14","1.17"
"furia","3.05","1.32","7.09","1.34","3.76","2.10","3.62","1.53","4.64","2.24","5.19","1.86"
"fusil","2.59","1.44","6.86","1.93","6.40","0.82","6.30","1.08","4.45","1.67","5.15","1.69"
"futuro","7.40","1.57","7.41","1.68","2.00","1.52","2.61","1.80","4.48","2.56","6.75","0.44"
"fútbol","5.32","2.15","6.00","2.25","6.64","0.73","6.32","0.89","6.17","1.40","6.65","0.93"
"gabardina","5.00","1.15","3.30","1.89","6.32","1.13","6.52","0.87","4.00","2.10","4.73","2.05"
"galardón","7.75","0.97","6.00","2.70","4.27","1.88","3.14","1.71","3.14","1.85","4.33","1.83"
"ganado","6.29","1.97","4.14","1.82","4.65","2.03","6.00","1.27","5.25","1.59","4.50","2.16"
"ganadora","7.50","1.36","6.05","2.09","4.10","2.02","5.24","1.70","4.68","1.81","6.09","1.34"
"ganar","7.58","1.35","7.10","2.45","4.14","1.70","3.45","1.67","6.15","1.18","6.52","0.81"
"gangrena","2.40","1.47","6.36","2.22","5.39","1.88","4.26","2.42","2.68","2.08","3.70","2.36"
"garfio","4.29","1.18","4.87","2.18","6.00","1.45","6.43","1.47","3.38","2.62","4.04","2.08"
"garganta","4.55","1.15","3.95","1.94","6.35","0.93","6.14","0.89","5.09","2.09","6.40","0.82"
"garrote","3.15","1.73","6.30","1.63","5.05","1.77","4.32","2.42","3.05","2.30","3.20","2.02"
"gato","5.76","1.70","4.10","1.97","6.38","1.16","7.00","0.00","6.40","1.14","6.62","1.16"
"gemido","5.27","2.10","7.10","2.02","4.50","1.54","3.86","2.14","5.38","1.91","5.77","1.45"
"genialidad","8.27","0.88","5.70","2.72","3.20","1.99","2.30","1.89","4.04","2.27","4.86","1.74"
"genio","6.45","1.36","5.20","2.02","3.86","1.81","4.95","1.99","4.55","2.19","5.82","1.26"
"gente","6.48","1.40","5.41","2.42","3.10","2.15","6.60","0.68","6.20","1.40","6.85","0.49"
"gerente","4.73","0.83","5.20","1.96","5.24","1.37","3.50","1.85","2.95","1.56","4.48","1.83"
"gestión","4.64","0.73","4.50","1.85","3.50","1.67","2.48","1.50","3.73","2.29","5.25","1.83"
"género","4.90","0.44","3.91","1.51","2.50","1.61","3.81","2.34","3.86","2.10","5.45","1.99"
"gimnasio","5.50","1.95","6.10","2.27","6.20","0.83","6.87","0.34","5.75","1.96","6.77","0.53"
"gimnasta","6.04","1.14","4.96","2.10","5.59","1.33","5.90","1.04","5.24","1.67","4.82","1.89"
"giro","4.86","0.73","4.82","1.92","4.30","1.56","4.18","1.71","4.00","2.23","6.45","1.05"
"globo","6.17","1.37","3.60","2.16","5.77","1.51","6.48","1.21","6.50","1.19","5.57","1.33"
"gobernador","3.45","1.64","5.45","1.84","6.23","0.81","5.71","1.62","4.55","2.26","5.45","1.47"
"goce","7.10","1.37","6.77","1.15","3.09","1.77","2.77","1.69","4.55","2.11","4.65","2.25"
"golfista","5.10","1.21","4.00","1.65","5.48","1.75","5.95","1.53","4.68","2.21","5.30","1.82"
"golfo","4.19","1.65","4.70","1.87","4.29","1.62","4.15","2.30","3.45","2.32","4.09","1.82"
"gota","5.41","1.05","3.29","1.82","5.25","1.71","6.65","0.99","5.85","2.18","6.52","1.08"
"gozar","7.77","1.34","4.40","3.22","3.86","1.88","3.40","1.70","6.05","1.56","4.95","1.70"
"grado","5.39","1.23","4.27","1.55","3.10","1.55","1.91","1.48","4.18","2.40","5.62","1.20"
"graduada","7.07","1.46","6.61","2.43","4.36","1.47","5.52","1.33","4.95","1.94","5.95","1.53"
"granjero","5.50","1.10","2.95","1.82","5.95","0.90","6.38","1.02","5.19","1.89","4.76","1.58"
"grano","3.70","1.45","4.77","2.11","4.68","1.73","6.52","0.73","5.20","1.88","6.23","1.07"
"grave","2.70","1.56","6.82","1.82","3.78","1.73","3.39","1.70","5.18","1.68","5.82","1.10"
"grieta","3.00","1.23","4.85","1.98","6.14","0.71","6.85","0.37","3.88","2.42","4.75","1.80"
"guante","5.15","0.81","3.95","1.79","6.14","1.39","6.86","0.36","5.91","1.74","6.62","0.59"
"guardería","6.55","1.54","4.43","2.31","6.20","0.83","6.35","1.14","5.60","1.79","5.33","1.93"
"guardián","5.29","1.46","4.91","1.98","3.82","1.44","4.10","2.23","3.29","1.62","4.36","1.81"
"guerrero","3.65","1.60","6.23","2.18","5.70","1.30","5.45","1.32","4.26","2.14","5.55","1.47"
"guión","4.90","0.72","4.23","1.77","4.24","1.84","5.09","1.20","5.30","2.18","5.00","1.82"
"habilidad","7.26","1.25","4.85","2.68","3.40","2.06","2.65","0.99","4.45","1.77","6.45","1.05"
"habitación","5.63","1.38","3.52","1.89","5.76","1.45","6.71","0.46","6.65","0.67","6.91","0.29"
"hacha","3.91","1.95","6.05","2.04","6.50","0.89","6.55","1.00","4.36","2.70","5.05","1.96"
"hacienda","3.00","1.34","5.80","1.82","4.57","1.99","2.32","1.62","4.64","2.13","5.00","1.52"
"hada","6.27","1.49","4.20","2.46","4.68","1.91","5.59","1.82","4.50","2.32","4.33","1.85"
"hallazgo","6.14","2.23","6.70","1.95","3.70","1.69","2.70","1.78","3.00","2.02","4.77","1.77"
"hábito","5.32","0.95","4.00","1.85","2.82","1.53","3.25","1.80","4.27","2.37","5.50","1.14"
"hechicero","5.32","1.12","5.00","2.28","5.18","1.59","4.52","1.78","3.57","2.13","4.59","1.89"
"heno","4.91","0.68","3.91","1.80","5.55","1.61","3.86","2.15","1.64","1.33","3.41","2.15"
"herido","2.05","1.40","6.91","1.80","5.04","1.52","6.52","0.73","5.68","1.89","5.43","1.94"
"hermana","7.75","1.48","3.60","1.90","5.05","1.77","5.36","2.24","5.91","1.69","6.67","0.86"
"heroína","3.85","2.48","6.15","2.08","5.14","1.64","4.23","2.16","5.20","1.58","5.59","1.68"
"heroísmo","6.41","1.56","6.15","1.69","3.05","1.56","3.25","1.62","3.67","2.08","3.45","1.99"
"herramienta","5.25","1.21","4.40","1.90","3.29","1.95","5.64","1.56","5.09","1.74","5.67","1.62"
"hervir","4.52","0.75","4.45","1.92","5.50","1.28","4.86","1.90","5.86","1.67","6.05","1.50"
"hidalguía","4.90","0.54","3.60","1.88","4.17","1.85","1.57","0.84","1.64","1.43","1.85","1.23"
"hielo","5.05","1.53","4.30","1.78","6.50","0.74","6.50","0.74","5.86","1.64","6.64","0.95"
"hierro","4.81","0.81","4.77","1.31","5.86","1.21","5.91","1.38","4.82","2.11","5.86","1.49"
"hija","7.27","1.19","4.70","2.52","6.19","1.17","4.15","2.08","5.73","2.07","6.57","1.33"
"hijo","7.05","1.56","5.27","1.96","6.20","1.51","5.85","1.69","5.85","1.63","6.67","0.80"
"historia","5.95","1.20","4.32","1.81","2.64","1.43","2.14","1.28","5.18","2.50","6.38","0.74"
"hoguera","5.50","1.95","3.70","2.56","6.40","0.68","6.65","0.78","5.77","1.77","5.38","1.96"
"hoja","5.05","0.86","3.14","1.55","5.70","1.08","6.62","1.12","6.10","1.55","6.57","0.98"
"homenaje","7.00","1.26","4.50","2.09","3.24","1.55","3.91","1.82","4.14","2.01","4.57","1.99"
"homicidio","1.27","0.70","7.80","1.24","4.65","2.03","4.25","2.40","4.04","2.16","4.73","1.52"
"honradez","7.50","1.19","3.50","2.37","3.05","1.94","1.68","1.21","3.92","1.89","4.75","1.74"
"horca","2.82","1.33","6.39","1.99","5.86","1.28","5.57","1.99","3.33","2.37","2.90","1.89"
"hormigueo","5.18","1.76","6.70","1.72","4.40","1.85","3.71","2.10","4.79","1.82","4.70","1.95"
"hormiguero","4.79","1.59","4.81","2.29","6.40","0.94","5.82","1.47","4.45","2.09","4.76","2.12"
"hornear","6.09","1.02","3.95","1.76","5.20","1.44","4.24","2.10","5.50","1.60","4.43","1.54"
"horquilla","4.76","0.94","3.14","1.67","6.05","1.54","6.38","1.36","5.36","2.08","5.55","1.50"
"horror","2.45","1.43","7.20","1.36","2.70","1.75","3.55","1.70","3.86","2.10","5.73","1.16"
"hotel","6.82","1.30","3.38","1.94","6.60","0.60","6.76","0.70","6.35","1.60","6.25","1.41"
"huerto","6.74","1.39","3.55","2.28","6.10","1.30","6.57","0.81","6.18","1.37","5.55","1.85"
"huevo","5.00","0.73","3.65","1.57","6.57","0.68","6.91","0.29","5.91","1.51","6.81","0.68"
"huérfano","1.45","0.80","5.74","2.05","6.05","1.15","4.75","1.97","5.39","1.70","4.65","1.98"
"humanidad","6.67","1.52","5.14","2.13","3.20","1.91","3.38","1.72","4.40","1.88","5.60","1.90"
"humanismo","7.39","1.41","4.50","2.20","2.29","1.23","1.74","0.86","3.45","2.15","4.24","0.83"
"humildad","7.60","1.96","3.32","2.50","2.60","1.64","1.64","0.73","4.96","1.77","5.15","1.76"
"humillación","1.32","0.48","7.30","1.84","2.59","1.33","3.38","1.77","4.21","2.26","5.09","1.69"
"huracán","2.62","1.36","7.27","1.35","6.00","1.56","6.14","0.99","5.73","1.49","5.14","1.81"
"hurgar","3.73","1.49","4.60","2.09","3.59","1.62","4.25","1.71","3.79","1.86","3.95","1.36"
"idealismo","6.00","1.41","4.05","2.13","2.81","1.83","1.45","0.80","3.32","1.86","3.71","1.87"
"iglesia","4.19","1.36","3.67","2.56","5.50","1.97","6.64","0.85","6.09","1.69","5.43","2.06"
"ilusión","7.55","1.19","5.95","2.46","2.30","1.17","2.55","1.44","5.50","2.09","6.55","0.74"
"imagen","6.42","1.47","4.10","1.64","3.05","1.93","4.90","2.02","5.20","1.96","6.80","0.52"
"imán","5.19","1.47","4.10","1.74","6.24","1.37","6.30","0.92","4.41","2.20","5.20","2.04"
"impermeable","5.21","1.45","3.65","1.90","4.59","1.97","5.29","2.15","5.24","1.87","5.86","0.83"
"importación","4.86","0.96","4.19","2.23","4.17","1.80","3.00","1.81","3.86","2.19","4.33","1.74"
"impotencia","2.27","1.12","7.75","1.41","3.45","1.77","2.67","1.39","5.45","1.68","5.33","1.39"
"impresionado","5.95","1.10","6.10","1.55","4.83","1.75","3.96","1.80","5.27","2.23","5.91","1.56"
"impureza","3.46","1.50","5.10","1.92","3.27","1.78","2.50","1.95","2.50","2.04","3.76","1.55"
"incapacidad","1.88","0.90","6.24","2.36","3.36","1.53","2.55","1.28","4.60","2.04","5.24","1.48"
"incendio","1.35","0.59","7.86","1.73","6.32","0.78","6.15","1.53","5.83","2.12","5.86","1.32"
"incentivo","7.00","1.55","6.30","1.56","3.83","1.30","2.87","1.91","2.55","1.99","4.91","1.77"
"incomodidad","2.95","0.92","6.09","2.02","3.68","1.62","2.59","1.40","4.32","1.81","6.14","0.85"
"incremento","6.04","1.94","5.91","2.14","3.40","1.93","3.70","1.38","4.55","2.09","5.20","1.94"
"indecisión","2.95","1.05","6.40","2.01","3.45","1.74","2.76","1.79","4.41","1.89","5.65","1.42"
"indicio","4.86","0.94","5.05","1.73","2.40","1.67","2.24","1.22","2.59","1.99","4.33","1.59"
"indio","5.10","1.02","3.75","1.83","5.52","1.29","6.32","1.13","5.00","2.45","4.75","2.15"
"industria","4.35","0.99","4.80","1.47","3.73","1.61","6.40","0.88","5.09","2.04","5.67","1.24"
"infanta","4.25","1.33","5.00","2.08","5.48","1.25","5.64","1.56","4.50","1.85","5.23","1.93"
"inferioridad","2.15","1.18","6.23","2.20","2.50","1.19","2.80","1.40","3.70","2.27","5.10","1.81"
"infiel","2.00","0.87","7.14","1.24","5.52","1.27","3.74","2.05","5.91","1.82","5.62","1.75"
"infinito","5.91","1.31","4.70","2.68","2.41","2.20","2.36","2.01","2.95","2.24","5.67","1.56"
"inflación","3.42","1.41","4.33","2.13","3.20","1.54","1.86","1.55","2.85","2.06","3.40","1.79"
"información","5.88","1.19","5.00","1.87","2.40","1.67","2.27","1.39","5.10","1.97","6.55","1.15"
"informática","5.46","1.23","4.61","1.83","3.95","2.06","3.24","2.12","4.62","1.91","6.05","0.92"
"informe","3.92","1.02","5.75","2.07","3.48","1.47","5.20","1.96","4.14","2.21","6.55","0.86"
"ingrediente","5.74","1.10","2.82","1.62","2.43","1.69","4.14","1.98","6.05","1.13","5.95","1.02"
"ingresar","4.05","2.19","5.05","2.33","3.77","1.57","2.50","1.92","5.58","1.79","6.00","1.34"
"ingreso","5.05","2.46","5.40","2.28","3.65","1.50","2.86","1.91","5.50","1.89","6.05","1.67"
"inmensidad","6.59","1.68","4.40","2.58","1.95","1.19","2.76","1.87","3.50","1.99","4.90","1.37"
"innovación","7.38","1.06","6.52","2.27","3.45","2.11","3.05","1.83","3.80","2.02","5.00","1.38"
"inodoro","4.00","0.90","4.26","2.03","6.00","1.20","6.71","0.78","4.33","2.39","4.50","1.74"
"inseguridad","2.50","1.18","6.38","2.58","2.05","1.21","2.09","1.41","4.80","2.14","5.57","1.03"
"inseguro","3.00","1.34","5.65","1.95","4.00","1.49","2.60","1.19","3.85","2.03","5.70","1.82"
"insomnio","2.65","1.53","7.05","2.38","5.18","1.76","3.18","1.82","5.26","2.16","5.30","1.69"
"inspiración","6.95","1.40","4.75","3.09","3.40","1.96","2.30","1.13","3.75","2.25","6.35","1.18"
"instancia","4.45","1.39","4.90","1.48","2.57","1.40","2.13","1.39","1.77","1.23","4.05","1.84"
"instante","5.18","1.18","4.20","2.21","2.85","1.66","1.30","0.47","3.22","2.24","5.50","1.34"
"institución","4.57","1.36","4.23","1.80","2.64","1.33","3.70","1.84","4.27","2.31","4.90","1.45"
"instituto","5.95","1.46","5.30","2.36","6.35","0.88","6.50","0.67","6.27","1.28","6.45","1.10"
"insulto","2.64","1.33","7.90","1.29","3.82","1.89","3.00","1.45","5.59","1.94","6.14","1.15"
"intelectual","6.95","1.43","4.15","2.41","4.60","2.04","2.45","1.47","4.87","1.69","5.05","1.53"
"intensidad","6.87","1.46","6.14","2.34","3.55","2.01","2.20","1.01","4.05","2.08","5.65","1.42"
"interrupción","3.25","1.25","6.09","1.93","2.95","1.39","2.77","1.57","4.96","2.14","5.50","1.43"
"intruso","3.15","1.04","6.95","1.53","4.91","1.80","3.55","1.70","4.64","1.84","4.55","1.96"
"inundación","2.45","1.15","6.45","1.60","5.70","0.98","5.91","1.06","5.55","1.64","5.77","1.60"
"invasión","3.00","1.48","7.35","1.69","3.20","1.88","3.25","1.80","3.91","2.00","4.62","1.50"
"inválido","2.23","1.23","5.50","1.70","4.95","1.57","6.40","0.82","5.83","1.40","4.80","1.91"
"invernadero","5.46","1.69","3.38","1.63","6.09","0.81","6.85","0.37","4.50","1.93","4.35","2.06"
